Q1	massage oil buy good oil massage
Q212_C4	super fuel place premium increase life engine
Q212_C5	super fuel place premium higher octane rating effect car normal compression rating high performance car get usually higher compression rating therefore withstand
Q212_C6	super fuel place premium use harm check manufacturer manual
Q213	experience roommate thinking getting roommate new bit hard find someone reliable experience
Q213_C1	yelling yelling
Q213_C2	lucky lp lucky lp
Q213_C3	lp beautiful room mate beautiful room mate
Q213_C4	city center thinking city center thinking k sure post interest
Q213_C5	kick kick feel like obligate long term contract otherwise person trouble want face situation find another apt urgently middle year
Q213_C6	dracula case use tide wash pillow cover gift back roommate permanently
Q213_C7	find find westerner like maybe know like person move together cool live someone different culture us within four wall fairly spacious apartment like individual culture fighting domination middle ground make lay back bohemian respectful atmosphere hope say
Q213_C8	save save define ground rule beginning notice period kick option sake ps option applicable male roommate
Q213_C9	yes wife wish change another one drive wall cant stand
Q213_C10	search room mate going think get new room mate like good human
Q213_C11	choose someone make sure find someone idea suggest going relax dinner chat housemate get well found friend mine nationality works qatar airway management position travel bonus get space must similar look life butt head constantly
Q213_C12	room mates besides sharing lungi try act busy unavailable cleaning tidy do room right time free food sweet share excuse regular delay part rent due bad story gossip never list go
Q213_C13	painful roommate borrow underwear return back next day
Q213_C14	better get roommate wont privacy need
Q213_C15	melt metal painful share room doha jade anyway homework make sure put good luck
Q213_C16	roommate borrow underwear return back next day remember yellow front brown back
Q213_C17	brit understand bring monetary benefit location relation painful event
Q214	uk visa enquiry hello want know much time take get visa flying oct waiting apply yesterday advice
Q214_C1	apply last sept apply last sept still waiting visa
Q214_C2	days take days apply sunday wednesday get message collect passport sometime take time get appointment already do details fine days
Q214_C3	suppose also depend suppose also depend nationality mine take two working day surprise surprise sponsor go take month also interview
Q214_C4	take working take working days
Q214_C5	week better reschedule
Q214_C6	use priority use priority service days wait week minimum
Q215	village living hi husband currently doha working due follow shortly going living village tell like child two attend doha british school basically family life like food shop advice gratefully many thanks
Q215_C1	village commercial cum residential complex lot different kind business include school locate within village friend mine live complaint far nice spacious apartment quality finish prompt maintenance
Q215_C2	live good live good generally issue facing playground park child play airport far u keep ur windows open u annoy plane noise especially night weather good u want keep ac public transportation limited bus coming regularly village taxi car especially morning welcome doha neighbor
Q215_C3	medical medical good shop small playing area child near restaurant jumping castle park min airplane noise irritate especially get use
Q215_C4	almost almost village relative going overnight sleep every weekend relax
Q215_C5	mart super market car tyre alignment shop open spacious green field town point
Q215_C6	ideal place live ideal place live respect size house rent compare market b shopping complex within compound c hospital within compound school compound ur lucky find house friend apply month ago still get response due high demand hope ur bed room apt consider size family rest worry midst city nothing worry focus movement fine good luck
